id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
4469650,40.80520506,-73.94518515,97,10,10,10,10,9,10,2.1
14186084,40.68259567,-73.91988556,98,10,10,10,10,9,10,2.1
17977439,40.74756109,-73.88193423,92,10,10,9,9,9,9,2.11
11243074,40.67749017,-73.95091201,95,10,10,10,10,9,10,2.11
5050664,40.71847702,-73.9954937,95,10,10,10,10,9,9,2.11
10958463,40.79232072,-73.93972121,95,10,9,10,10,9,9,2.11
7086310,40.8362098,-73.94645727,95,10,10,10,10,9,10,2.11
2848235,40.85710593,-73.91594016,95,10,9,9,10,9,9,2.11
9113032,40.67594392,-73.9483882,96,10,10,10,10,9,10,2.11
2175879,40.76894341,-73.95810051,97,10,10,10,10,9,9,2.11
18802366,40.82401833,-73.94537451,94,10,9,10,9,9,9,2.12
67130,40.6892582,-73.96305833,98,10,10,10,10,9,10,2.12
10233196,40.83472694,-73.9385818,98,10,10,10,10,9,10,2.13
14976299,40.75202558,-73.87381178,87,10,9,10,10,9,9,2.14
18211555,40.69422361,-73.93251387,96,10,10,10,10,9,9,2.14
19848191,40.66611483,-73.93707638,100,10,10,10,10,9,10,2.14
11371099,40.68164352,-73.93497435,98,10,10,10,10,9,10,2.15
13987933,40.76404192,-73.92536257,92,10,9,10,10,9,9,2.17
14594286,40.82957147,-73.94534744,98,10,10,10,10,9,10,2.17
7783855,40.68528004,-73.91572599,96,10,10,10,10,9,9,2.19
9695052,40.63572941,-74.07720141,99,10,9,10,10,9,10,2.19
19176371,40.77321777,-73.95076618,97,10,9,10,10,9,10,2.2
12007456,40.7977632,-73.9382886,98,10,10,10,10,9,10,2.2
4374913,40.8014555,-73.95441322,98,10,10,10,10,9,10,2.21
16025976,40.86006083,-73.90890714,91,10,9,9,9,9,9,2.22
15021331,40.86559184,-73.92174193,98,10,10,10,10,9,10,2.22
8081193,40.75644436,-73.93486293,97,10,10,10,10,9,10,2.23
6692571,40.86823924,-73.92337067,97,10,9,10,10,9,10,2.23
16755891,40.71488875,-73.99458642,98,10,10,10,10,9,9,2.23
3303301,40.68226288,-73.94999197,98,10,10,10,10,9,10,2.24
16146442,40.66838363,-73.93133569,100,10,10,10,10,9,10,2.24
18462291,40.81751891,-73.94161681,96,10,10,8,10,9,10,2.25
7037791,40.687402,-73.93830024,99,10,10,10,10,9,10,2.25
1354973,40.68420237,-73.91769595,92,10,9,10,10,9,9,2.26
2407196,40.81904473,-73.94325286,97,10,10,10,10,9,10,2.26
5858572,40.77540587,-73.92888657,98,10,10,10,10,9,10,2.26
6956274,40.69611877,-73.94993384,98,10,10,10,10,9,10,2.27
3111195,40.68117605,-73.94853755,97,10,10,10,10,9,10,2.28
5051551,40.64603289,-73.9958977,92,10,9,10,10,9,9,2.29
12827022,40.69090126,-73.93954023,97,10,10,10,10,9,10,2.29
12037343,40.7036509,-73.90473051,92,10,10,10,10,9,10,2.3
1843674,40.68674133,-73.95392144,93,10,10,10,10,9,9,2.3
10405694,40.6841316,-73.90730841,96,10,10,10,10,9,10,2.3
13761856,40.82349971,-73.94332381,96,10,10,10,10,9,9,2.3
9325979,40.71377431,-73.99311137,97,10,10,10,10,9,9,2.3
2739793,40.69685543,-73.93041538,98,10,10,10,10,9,10,2.31
4601637,40.80098192,-73.9457414,100,10,10,10,10,9,10,2.31
4974709,40.81938567,-73.95438449,92,10,10,10,10,9,9,2.32
970659,40.83833761,-73.94217942,96,10,10,10,10,9,10,2.32
8115321,40.75525981,-73.86467591,98,10,10,10,10,9,10,2.32
15192082,40.80450303,-73.9485906,94,10,8,10,10,9,9,2.33
222913,40.71238117,-73.98329098,93,10,10,10,10,9,9,2.34
17780048,40.6513606,-73.94418292,97,10,9,10,10,9,10,2.34
1652996,40.68004908,-73.93910899,97,10,10,10,10,9,10,2.34
17358323,40.76978287,-73.73915082,99,10,10,10,10,9,9,2.34
243708,40.70875435,-73.95508134,93,10,9,10,10,9,9,2.35
4783057,40.69503563,-73.92708771,97,10,10,10,10,9,10,2.35
18870541,40.63913434,-73.95430996,94,10,9,9,10,9,9,2.36
11991044,40.69003819,-73.94100687,96,10,10,10,10,9,10,2.36
9096381,40.68281849,-73.93289464,97,10,10,10,10,9,10,2.36
16599323,40.69964453,-73.93729308,97,10,10,10,10,9,9,2.36
17941316,40.75235699,-73.89172305,100,10,10,10,10,9,9,2.36
